ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1557588_at	1.54e-01	7.16e-02	1.83	-5.044675	0.26697381	LINC01310	long intergenic non-protein coding RNA 1310
207665_at	1.54e-01	7.16e-02	-1.83	-5.044834	-0.2904832	ADAM21	ADAM metallopeptidase domain 21
213108_at	1.54e-01	7.17e-02	-1.83	-5.045669	-0.32299939	CAMK2A	calcium/calmodulin dependent protein kinase II alpha
229685_at	1.54e-01	7.17e-02	1.83	-5.045773	0.2105249	LOC100134937	uncharacterized LOC100134937
209034_at	1.54e-01	7.17e-02	1.82	-5.046091	0.15914131	PNRC1	proline rich nuclear receptor coactivator 1
205485_at	1.54e-01	7.17e-02	-1.82	-5.04613	-0.45320225	RYR1	ryanodine receptor 1
212530_at	1.54e-01	7.18e-02	-1.82	-5.047828	-0.12024439	NEK7	NIMA related kinase 7
232267_at	1.54e-01	7.19e-02	-1.82	-5.048142	-0.68197036	ADGRD1	adhesion G protein-coupled receptor D1
229635_at	1.54e-01	7.19e-02	-1.82	-5.04858	-0.40746955	LINC01094	long intergenic non-protein coding RNA 1094
219702_at	1.54e-01	7.19e-02	-1.82	-5.048695	-0.57135237	PLAC1	placenta specific 1
202713_s_at	1.54e-01	7.19e-02	1.82	-5.048938	0.10182798	KIAA0391///PSMA6	KIAA0391///proteasome subunit alpha 6
244279_at	1.54e-01	7.20e-02	-1.82	-5.049006	-0.55889335	SOBP	sine oculis binding protein homolog
243815_at	1.54e-01	7.20e-02	-1.82	-5.049786	-0.35532529	PGBD4	piggyBac transposable element derived 4
1552497_a_at	1.55e-01	7.21e-02	1.82	-5.05125	0.26698352	SLAMF6	SLAM family member 6
233857_s_at	1.55e-01	7.22e-02	-1.82	-5.051557	-0.39693522	ASB2	ankyrin repeat and SOCS box containing 2
206916_x_at	1.55e-01	7.22e-02	-1.82	-5.051577	-0.28611498	TAT	tyrosine aminotransferase
218459_at	1.55e-01	7.22e-02	1.82	-5.05168	0.13559379	TOR3A	torsin family 3 member A
235468_at	1.55e-01	7.22e-02	-1.82	-5.052067	-0.59251446	RBFOX3	RNA binding protein, fox-1 homolog 3
227622_at	1.55e-01	7.23e-02	-1.82	-5.052425	-0.16319664	PCF11	PCF11 cleavage and polyadenylation factor subunit
231389_at	1.55e-01	7.23e-02	1.82	-5.053067	0.29769573	PIH1D3	PIH1 domain containing 3
227477_at	1.55e-01	7.23e-02	-1.82	-5.053138	-0.23162603	ZMYND19	zinc finger MYND-type containing 19
221922_at	1.55e-01	7.23e-02	1.82	-5.053172	0.24285193	GPSM2	G-protein signaling modulator 2
226451_at	1.55e-01	7.23e-02	-1.82	-5.053441	-0.15492317	FDX1L	ferredoxin 1 like
204033_at	1.55e-01	7.23e-02	1.82	-5.053454	0.22092314	TRIP13	thyroid hormone receptor interactor 13
230433_at	1.55e-01	7.24e-02	-1.82	-5.054279	-0.29192653	LOC729970	hCG2028352-like
1562365_at	1.55e-01	7.24e-02	1.82	-5.05444	0.65398849	LOC286177	uncharacterized LOC286177
205940_at	1.55e-01	7.25e-02	-1.82	-5.05506	-0.47359937	MYH3	myosin, heavy chain 3, skeletal muscle, embryonic
33197_at	1.55e-01	7.25e-02	1.82	-5.055079	0.30835098	MYO7A	myosin VIIA
231573_at	1.55e-01	7.25e-02	1.82	-5.055616	0.3487779	FATE1	fetal and adult testis expressed 1
208291_s_at	1.55e-01	7.27e-02	-1.82	-5.057225	-0.66727463	TH	tyrosine hydroxylase
227204_at	1.56e-01	7.27e-02	-1.82	-5.057772	-0.40394627	PARD6G	par-6 family cell polarity regulator gamma
219297_at	1.56e-01	7.28e-02	-1.82	-5.058543	-0.1300193	WDR44	WD repeat domain 44
205869_at	1.56e-01	7.28e-02	-1.82	-5.058658	-0.47772357	PRSS2///PRSS1	protease, serine 2///protease, serine 1
204162_at	1.56e-01	7.29e-02	1.82	-5.060278	0.24117438	NDC80	NDC80, kinetochore complex component
219741_x_at	1.56e-01	7.31e-02	-1.82	-5.061792	-0.14074288	ZNF552	zinc finger protein 552
201852_x_at	1.56e-01	7.31e-02	-1.82	-5.062458	-0.59470555	COL3A1	collagen type III alpha 1 chain
226370_at	1.56e-01	7.32e-02	-1.82	-5.062569	-0.15572382	KLHL15	kelch like family member 15
239998_at	1.56e-01	7.32e-02	1.82	-5.062571	0.51326523	C10orf53	chromosome 10 open reading frame 53
1562326_at	1.56e-01	7.32e-02	-1.82	-5.062647	-0.54493955	LINC01122	long intergenic non-protein coding RNA 1122
205066_s_at	1.56e-01	7.32e-02	-1.82	-5.06279	-0.36723295	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1
205830_at	1.56e-01	7.32e-02	-1.82	-5.062794	-0.70096358	CLGN	calmegin
204447_at	1.56e-01	7.32e-02	-1.82	-5.063113	-0.454066	LZTS3	leucine zipper tumor suppressor family member 3
208165_s_at	1.56e-01	7.32e-02	-1.81	-5.063521	-0.58082392	PRSS16	protease, serine 16
1559226_x_at	1.57e-01	7.33e-02	-1.81	-5.064512	-0.23706371	LCE1E	late cornified envelope 1E
239386_at	1.57e-01	7.33e-02	1.81	-5.064604	0.55407899	HAVCR1P1	hepatitis A virus cellular receptor 1 pseudogene 1
236381_s_at	1.57e-01	7.33e-02	-1.81	-5.064676	-0.15750357	WRAP73	WD repeat containing, antisense to TP73
207006_s_at	1.57e-01	7.33e-02	1.81	-5.064686	0.56920528	CCDC106	coiled-coil domain containing 106
222889_at	1.57e-01	7.35e-02	1.81	-5.06622	0.20679321	DCLRE1B	DNA cross-link repair 1B
220332_at	1.57e-01	7.35e-02	-1.81	-5.066592	-0.49162851	CLDN16	claudin 16
231986_at	1.57e-01	7.35e-02	-1.81	-5.066949	-0.55371729	RIMS1	regulating synaptic membrane exocytosis 1
217867_x_at	1.57e-01	7.35e-02	-1.81	-5.067019	-0.44036735	BACE2	beta-site APP-cleaving enzyme 2
1560100_at	1.57e-01	7.36e-02	1.81	-5.067629	0.49316765	DLX1	distal-less homeobox 1
216396_s_at	1.57e-01	7.36e-02	-1.81	-5.06781	-0.16647661	EI24	EI24, autophagy associated transmembrane protein
211738_x_at	1.57e-01	7.36e-02	-1.81	-5.068015	-0.22247645	CELA3A	chymotrypsin like elastase family member 3A
204790_at	1.57e-01	7.37e-02	-1.81	-5.068509	-0.19707436	SMAD7	SMAD family member 7
225893_at	1.57e-01	7.37e-02	-1.81	-5.068618	-0.11552482	RC3H1	ring finger and CCCH-type domains 1
229065_at	1.57e-01	7.37e-02	-1.81	-5.068747	-0.4242167	SLC35F3	solute carrier family 35 member F3
226583_at	1.57e-01	7.37e-02	1.81	-5.068913	0.18866017	C12orf76	chromosome 12 open reading frame 76
231815_at	1.58e-01	7.39e-02	-1.81	-5.07057	-0.15478611	PHF12	PHD finger protein 12
201282_at	1.58e-01	7.40e-02	-1.81	-5.07171	-0.17978681	OGDH	oxoglutarate dehydrogenase
204484_at	1.58e-01	7.40e-02	-1.81	-5.071733	-0.3491732	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta
227862_at	1.58e-01	7.40e-02	-1.81	-5.072056	-0.27271087	TRNP1	TMF1-regulated nuclear protein 1
226420_at	1.58e-01	7.40e-02	-1.81	-5.072543	-0.70917876	MECOM	MDS1 and EVI1 complex locus
234109_x_at	1.58e-01	7.41e-02	1.81	-5.073613	0.29869645	ONECUT3	one cut homeobox 3
1553815_a_at	1.58e-01	7.42e-02	-1.81	-5.074522	-0.22725523	TCEANC	transcription elongation factor A N-terminal and central domain containing
233082_at	1.58e-01	7.43e-02	-1.81	-5.075122	-0.32121652	ZNF630	zinc finger protein 630
228153_at	1.59e-01	7.44e-02	1.81	-5.07666	0.27135652	RNF144B	ring finger protein 144B
214766_s_at	1.59e-01	7.44e-02	-1.81	-5.07693	-0.15915918	AHCTF1	AT-hook containing transcription factor 1
214183_s_at	1.59e-01	7.45e-02	-1.81	-5.077093	-0.4595091	TKTL1	transketolase like 1
227298_at	1.59e-01	7.45e-02	1.81	-5.077178	0.15810877	TRAM2-AS1	TRAM2 antisense RNA 1 (head to head)
228107_at	1.59e-01	7.45e-02	-1.81	-5.077503	-0.25251193	C8orf88	chromosome 8 open reading frame 88
203741_s_at	1.59e-01	7.45e-02	-1.81	-5.077676	-0.12914679	ADCY7	adenylate cyclase 7
1553333_at	1.59e-01	7.45e-02	1.81	-5.077905	0.67619559	MAB21L3	mab-21 like 3
224006_at	1.59e-01	7.46e-02	-1.81	-5.078139	-0.4736394	LOC100507377	uncharacterized LOC100507377
211838_x_at	1.59e-01	7.46e-02	-1.81	-5.078612	-0.44549095	PCDHA5	protocadherin alpha 5
201555_at	1.59e-01	7.46e-02	-1.81	-5.078911	-0.11969043	MCM3	minichromosome maintenance complex component 3
239207_at	1.59e-01	7.46e-02	-1.81	-5.079006	-0.18599116	KDM5C	lysine demethylase 5C
209002_s_at	1.59e-01	7.48e-02	-1.80	-5.08067	-0.15073967	CALCOCO1	calcium binding and coiled-coil domain 1
204887_s_at	1.59e-01	7.48e-02	1.80	-5.081099	0.54007013	PLK4	polo like kinase 4
202876_s_at	1.59e-01	7.48e-02	1.80	-5.081176	0.23091518	PBX2	PBX homeobox 2
204239_s_at	1.59e-01	7.49e-02	1.80	-5.081548	0.35831609	NNAT	neuronatin
208277_at	1.59e-01	7.49e-02	1.80	-5.081987	0.26137076	PITX3	paired like homeodomain 3
215084_s_at	1.59e-01	7.50e-02	1.80	-5.082657	0.1573432	LRRC42	leucine rich repeat containing 42
212713_at	1.60e-01	7.50e-02	1.80	-5.083141	0.23346585	MFAP4	microfibrillar associated protein 4
209786_at	1.60e-01	7.50e-02	-1.80	-5.083416	-0.11912797	HMGN4	high mobility group nucleosomal binding domain 4
236536_at	1.60e-01	7.51e-02	-1.80	-5.083627	-0.55628541	GALNT13	polypeptide N-acetylgalactosaminyltransferase 13
207738_s_at	1.60e-01	7.51e-02	-1.80	-5.083717	-0.42416858	NCKAP1	NCK associated protein 1
209388_at	1.60e-01	7.53e-02	-1.80	-5.085855	-0.16088983	PAPOLA	poly(A) polymerase alpha
210933_s_at	1.60e-01	7.53e-02	1.80	-5.085916	0.2001503	FSCN1	fascin actin-bundling protein 1
204630_s_at	1.60e-01	7.54e-02	1.80	-5.086877	0.11274012	GOSR1	golgi SNAP receptor complex member 1
225578_at	1.60e-01	7.54e-02	-1.80	-5.087051	-0.11995197	MZT1	mitotic spindle organizing protein 1
219845_at	1.60e-01	7.54e-02	-1.80	-5.087322	-0.5462177	BARX1	BARX homeobox 1
1569077_x_at	1.60e-01	7.54e-02	-1.80	-5.087628	-0.16218936	ZNF836	zinc finger protein 836
241745_at	1.60e-01	7.55e-02	-1.80	-5.088414	-0.4228826	LOC100507557	uncharacterized LOC100507557
218306_s_at	1.60e-01	7.55e-02	-1.80	-5.088579	-0.10838322	HERC1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
227391_x_at	1.60e-01	7.55e-02	-1.80	-5.088802	-0.29009619	LRRFIP1	LRR binding FLII interacting protein 1
203915_at	1.60e-01	7.55e-02	1.80	-5.088911	0.24714147	CXCL9	C-X-C motif chemokine ligand 9
228867_at	1.61e-01	7.56e-02	-1.80	-5.089211	-0.13111248	TATDN3	TatD DNase domain containing 3
228491_at	1.61e-01	7.56e-02	1.80	-5.090001	0.52394094	KRT19	keratin 19
207252_at	1.61e-01	7.57e-02	-1.80	-5.09054	-0.5313323	INE1	inactivation escape 1 (non-protein coding)
206508_at	1.61e-01	7.57e-02	1.80	-5.09059	0.43535349	CD70	CD70 molecule
214354_x_at	1.61e-01	7.57e-02	-1.80	-5.090689	-0.22840994	SFTPB	surfactant protein B
208783_s_at	1.61e-01	7.58e-02	-1.80	-5.091383	-0.11268404	CD46	CD46 molecule
217041_at	1.61e-01	7.58e-02	1.80	-5.091589	0.2033037	NPTXR	neuronal pentraxin receptor
1561335_at	1.61e-01	7.58e-02	-1.80	-5.091674	-0.51336875	LOC440602	uncharacterized LOC440602
232176_at	1.61e-01	7.58e-02	-1.80	-5.091872	-0.65474753	SLITRK6	SLIT and NTRK like family member 6
227153_at	1.61e-01	7.59e-02	-1.80	-5.092315	-0.29689862	IMMP2L	inner mitochondrial membrane peptidase subunit 2
1552937_s_at	1.61e-01	7.59e-02	-1.80	-5.092427	-0.16301556	ATRIP///TREX1	ATR interacting protein///three prime repair exonuclease 1
240617_at	1.61e-01	7.59e-02	1.80	-5.092599	0.44566654	TONSL-AS1	TONSL antisense RNA 1
220801_s_at	1.61e-01	7.59e-02	-1.80	-5.092634	-0.3545023	HAO2	hydroxyacid oxidase 2
229793_at	1.61e-01	7.59e-02	-1.80	-5.092845	-0.32323099	ASAH2B	N-acylsphingosine amidohydrolase 2B
201970_s_at	1.61e-01	7.59e-02	1.80	-5.092858	0.17473081	NASP	nuclear autoantigenic sperm protein
1564758_at	1.61e-01	7.59e-02	1.80	-5.092934	0.55883406	LOC643659	hCG2019139
208358_s_at	1.61e-01	7.59e-02	-1.80	-5.092955	-0.53277117	UGT8	UDP glycosyltransferase 8
205025_at	1.61e-01	7.59e-02	-1.80	-5.093248	-0.15437512	ZBTB48	zinc finger and BTB domain containing 48
225914_s_at	1.61e-01	7.60e-02	1.80	-5.093481	0.13176522	CAB39L	calcium binding protein 39 like
227195_at	1.61e-01	7.60e-02	1.80	-5.093597	0.27811998	ZNF503	zinc finger protein 503
237251_at	1.61e-01	7.60e-02	1.80	-5.093687	0.52084521	LRRC71	leucine rich repeat containing 71
243419_at	1.61e-01	7.60e-02	1.80	-5.09423	0.50299101	LOC654342	lymphocyte-specific protein 1 pseudogene
207209_at	1.61e-01	7.61e-02	-1.80	-5.095069	-0.44310112	CETN1	centrin 1
201571_s_at	1.61e-01	7.62e-02	-1.80	-5.095637	-0.16681108	DCTD	dCMP deaminase
1558477_at	1.61e-01	7.62e-02	1.80	-5.095696	0.57508582	LOC100131496	uncharacterized LOC100131496
1561451_a_at	1.61e-01	7.62e-02	-1.80	-5.096013	-0.56278479	LOC101928551	uncharacterized LOC101928551
221570_s_at	1.62e-01	7.63e-02	1.80	-5.096741	0.11292044	METTL5	methyltransferase like 5
233516_s_at	1.62e-01	7.63e-02	1.80	-5.096911	0.62471394	SPAG17	sperm associated antigen 17
226050_at	1.62e-01	7.63e-02	-1.80	-5.096947	-0.19758482	TMCO3	transmembrane and coiled-coil domains 3
1558262_at	1.62e-01	7.63e-02	-1.80	-5.097008	-0.6105225	SPTY2D1-AS1	SPTY2D1 antisense RNA 1
232965_at	1.62e-01	7.63e-02	-1.80	-5.09702	-0.51815339	LOC400684	uncharacterized LOC400684
212156_at	1.62e-01	7.64e-02	1.80	-5.097789	0.13466882	VPS39	VPS39, HOPS complex subunit
205202_at	1.62e-01	7.64e-02	1.79	-5.09804	0.17596779	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
1563071_at	1.62e-01	7.66e-02	1.79	-5.099979	0.68277853	LOC100289061	uncharacterized LOC100289061
220986_s_at	1.62e-01	7.66e-02	1.79	-5.100103	0.43322612	TIGD6	tigger transposable element derived 6
204341_at	1.62e-01	7.67e-02	1.79	-5.100973	0.16889881	TRIM16	tripartite motif containing 16
34868_at	1.62e-01	7.67e-02	1.79	-5.10103	0.12607964	SMG5	SMG5, nonsense mediated mRNA decay factor
209162_s_at	1.62e-01	7.67e-02	1.79	-5.101239	0.1024131	PRPF4	pre-mRNA processing factor 4
205133_s_at	1.62e-01	7.67e-02	1.79	-5.101424	0.16597954	HSPE1	heat shock protein family E (Hsp10) member 1
208287_at	1.62e-01	7.67e-02	-1.79	-5.10169	-0.46746974	HCG9	HLA complex group 9 (non-protein coding)
205312_at	1.62e-01	7.68e-02	1.79	-5.10188	0.24634726	SPI1	Spi-1 proto-oncogene
205759_s_at	1.62e-01	7.68e-02	1.79	-5.102512	0.38865988	SULT2B1	sulfotransferase family 2B member 1
1558687_a_at	1.62e-01	7.68e-02	-1.79	-5.102863	-0.51275497	FOXN1	forkhead box N1
205648_at	1.62e-01	7.69e-02	1.79	-5.102932	0.4344189	WNT2	Wnt family member 2
216355_at	1.62e-01	7.69e-02	-1.79	-5.103051	-0.32191583	PCDHB17P	protocadherin beta 17 pseudogene
225520_at	1.62e-01	7.69e-02	1.79	-5.103054	0.23053033	LOC101928195///LOC100996643///MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like pseudogene///monofunctional C1-tetrahydrofolate synthase, mitochondrial-like///methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like
1555413_s_at	1.62e-01	7.69e-02	1.79	-5.103198	0.56913777	FBXL21	F-box and leucine rich repeat protein 21 (gene/pseudogene)
1562251_a_at	1.63e-01	7.70e-02	1.79	-5.104015	0.46666052	LOC574538	uncharacterized LOC574538
203320_at	1.63e-01	7.70e-02	-1.79	-5.104106	-0.15967884	SH2B3	SH2B adaptor protein 3
1555074_a_at	1.63e-01	7.70e-02	-1.79	-5.104272	-0.44171802	KCNH5	potassium voltage-gated channel subfamily H member 5
210432_s_at	1.63e-01	7.70e-02	-1.79	-5.104547	-0.79113501	SCN3A	sodium voltage-gated channel alpha subunit 3
1566276_at	1.63e-01	7.70e-02	-1.79	-5.104665	-0.56951091	OR5E1P	olfactory receptor family 5 subfamily E member 1 pseudogene
232450_at	1.63e-01	7.70e-02	-1.79	-5.104741	-0.67097856	LOC149351	uncharacterized LOC149351
204752_x_at	1.63e-01	7.70e-02	1.79	-5.104758	0.11361905	PARP2	poly(ADP-ribose) polymerase 2
205878_at	1.63e-01	7.71e-02	-1.79	-5.105593	-0.26210831	POU6F1	POU class 6 homeobox 1
221848_at	1.63e-01	7.71e-02	1.79	-5.106061	0.24857697	ZGPAT	zinc finger CCCH-type and G-patch domain containing
223582_at	1.63e-01	7.72e-02	1.79	-5.106283	0.51128297	ADGRV1	adhesion G protein-coupled receptor V1
204442_x_at	1.63e-01	7.72e-02	-1.79	-5.106694	-0.31820398	LTBP4	latent transforming growth factor beta binding protein 4
225782_at	1.63e-01	7.74e-02	1.79	-5.108784	0.4243898	MSRB3	methionine sulfoxide reductase B3
202296_s_at	1.64e-01	7.75e-02	1.79	-5.109519	0.08252131	RER1	retention in endoplasmic reticulum sorting receptor 1
209665_at	1.64e-01	7.75e-02	1.79	-5.109654	0.0983548	CYB561D2	cytochrome b561 family member D2
211673_s_at	1.64e-01	7.75e-02	-1.79	-5.109903	-0.25168719	MOCS1	molybdenum cofactor synthesis 1
221463_at	1.64e-01	7.75e-02	1.79	-5.110184	0.40854164	CCL24	C-C motif chemokine ligand 24
220135_s_at	1.64e-01	7.76e-02	-1.79	-5.110556	-0.15577272	SLC7A9	solute carrier family 7 member 9
225136_at	1.64e-01	7.76e-02	1.79	-5.111216	0.15053083	PLEKHA2	pleckstrin homology domain containing A2
207902_at	1.64e-01	7.76e-02	-1.79	-5.111288	-0.511814	IL5RA	interleukin 5 receptor subunit alpha
220107_s_at	1.64e-01	7.77e-02	1.79	-5.111571	0.57532443	ZC2HC1C	zinc finger C2HC-type containing 1C
228708_at	1.64e-01	7.77e-02	-1.79	-5.111602	-0.33497781	RAB27B	RAB27B, member RAS oncogene family
1555096_at	1.64e-01	7.77e-02	-1.79	-5.111606	-0.3470364	STPG2	sperm tail PG-rich repeat containing 2
237619_at	1.64e-01	7.77e-02	-1.79	-5.111886	-0.43294627	FAM217A	family with sequence similarity 217 member A
244401_at	1.64e-01	7.78e-02	-1.79	-5.112904	-0.37228688	LCA5	LCA5, lebercilin
222998_at	1.64e-01	7.79e-02	1.79	-5.113606	0.10092958	MAF1	MAF1 homolog, negative regulator of RNA polymerase III
213463_s_at	1.64e-01	7.79e-02	-1.79	-5.113676	-0.15937249	FAM149B1	family with sequence similarity 149 member B1
223221_at	1.64e-01	7.80e-02	-1.78	-5.115058	-0.1502628	SCO1	SCO1 cytochrome c oxidase assembly protein
203701_s_at	1.65e-01	7.81e-02	1.78	-5.115902	0.15906912	TRMT1	tRNA methyltransferase 1
219421_at	1.65e-01	7.81e-02	-1.78	-5.116037	-0.18284417	TTC33	tetratricopeptide repeat domain 33
229177_at	1.65e-01	7.81e-02	1.78	-5.116358	0.39784871	C16orf89	chromosome 16 open reading frame 89
1552575_a_at	1.65e-01	7.81e-02	-1.78	-5.11661	-0.55816259	C6orf141	chromosome 6 open reading frame 141
223214_s_at	1.65e-01	7.82e-02	-1.78	-5.116781	-0.24376737	ZHX1	zinc fingers and homeoboxes 1
206991_s_at	1.65e-01	7.82e-02	-1.78	-5.117069	-0.31028802	CCR5	C-C motif chemokine receptor 5 (gene/pseudogene)
233462_at	1.65e-01	7.82e-02	-1.78	-5.11715	-0.49285162	TBC1D28	TBC1 domain family member 28
1556891_at	1.65e-01	7.82e-02	-1.78	-5.117254	-0.31181001	SORCS1	sortilin related VPS10 domain containing receptor 1
227890_at	1.65e-01	7.83e-02	-1.78	-5.117919	-0.26585051	TMEM198	transmembrane protein 198
210614_at	1.65e-01	7.83e-02	-1.78	-5.118304	-0.49498006	TTPA	alpha tocopherol transfer protein
231823_s_at	1.65e-01	7.83e-02	1.78	-5.118598	0.38045151	SH3PXD2B	SH3 and PX domains 2B
203546_at	1.65e-01	7.84e-02	1.78	-5.11902	0.10968709	IPO13	importin 13
223023_at	1.65e-01	7.84e-02	-1.78	-5.119159	-0.11432608	BET1L	Bet1 golgi vesicular membrane trafficking protein like
221258_s_at	1.65e-01	7.84e-02	1.78	-5.11947	0.40936063	KIF18A	kinesin family member 18A
217754_at	1.65e-01	7.85e-02	1.78	-5.119795	0.14235291	DDX56	DEAD-box helicase 56
226230_at	1.65e-01	7.85e-02	-1.78	-5.120061	-0.13646912	PPP4R3B	protein phosphatase 4 regulatory subunit 3B
227336_at	1.65e-01	7.86e-02	-1.78	-5.120802	-0.41153765	DTX1	deltex E3 ubiquitin ligase 1
1562748_at	1.65e-01	7.86e-02	-1.78	-5.121447	-0.40261792	LINGO1-AS1	LINGO1 antisense RNA 1
201745_at	1.65e-01	7.86e-02	-1.78	-5.121694	-0.13851823	TWF1	twinfilin actin binding protein 1
1552474_a_at	1.65e-01	7.87e-02	-1.78	-5.12198	-0.29269228	GAMT	guanidinoacetate N-methyltransferase
202915_s_at	1.65e-01	7.87e-02	-1.78	-5.122188	-0.08512092	FAM20B	family with sequence similarity 20 member B
204494_s_at	1.65e-01	7.87e-02	1.78	-5.122239	0.22426004	C15orf39	chromosome 15 open reading frame 39
214558_at	1.65e-01	7.87e-02	-1.78	-5.122275	-0.38075513	GPR12	G protein-coupled receptor 12
217776_at	1.66e-01	7.88e-02	-1.78	-5.123102	-0.24375992	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)
207812_s_at	1.66e-01	7.89e-02	-1.78	-5.124056	-0.13640086	GORASP2	golgi reassembly stacking protein 2
206105_at	1.66e-01	7.90e-02	-1.78	-5.125323	-0.30834895	AFF2	AF4/FMR2 family member 2
231297_at	1.66e-01	7.91e-02	1.78	-5.126126	0.20310974	DOT1L	DOT1 like histone lysine methyltransferase
214323_s_at	1.66e-01	7.92e-02	-1.78	-5.127607	-0.09596414	UPF3A	UPF3 regulator of nonsense transcripts homolog A (yeast)
203254_s_at	1.66e-01	7.92e-02	-1.78	-5.127625	-0.26046504	TLN1	talin 1
1569971_at	1.66e-01	7.92e-02	-1.78	-5.127655	-0.60369331	LOC100288721	uncharacterized LOC100288721
210078_s_at	1.66e-01	7.93e-02	-1.78	-5.128057	-0.51434361	KCNAB1	potassium voltage-gated channel subfamily A member regulatory beta subunit 1
205476_at	1.67e-01	7.93e-02	1.78	-5.128683	0.89664085	CCL20	C-C motif chemokine ligand 20
236036_at	1.67e-01	7.93e-02	-1.78	-5.128852	-0.42868925	FAM212B-AS1	FAM212B antisense RNA 1
225671_at	1.67e-01	7.94e-02	1.78	-5.129585	0.19134443	SPNS2	sphingolipid transporter 2
227601_at	1.67e-01	7.94e-02	-1.78	-5.129879	-0.14747783	METTL14	methyltransferase like 14
217965_s_at	1.67e-01	7.94e-02	1.78	-5.130065	0.09495188	SAP30BP	SAP30 binding protein
219165_at	1.67e-01	7.95e-02	1.78	-5.130102	0.12850424	PDLIM2	PDZ and LIM domain 2
212166_at	1.67e-01	7.95e-02	-1.78	-5.130125	-0.11434176	XPO7	exportin 7
1555040_at	1.67e-01	7.95e-02	-1.78	-5.130547	-0.32573454	LINC00612	long intergenic non-protein coding RNA 612
239675_at	1.67e-01	7.95e-02	1.78	-5.13083	0.45076076	LINC00900	long intergenic non-protein coding RNA 900
224537_at	1.67e-01	7.96e-02	1.78	-5.131666	0.40822205	PCDHGC5	protocadherin gamma subfamily C, 5
62987_r_at	1.67e-01	7.97e-02	1.77	-5.132967	0.22270357	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4
221438_s_at	1.67e-01	7.98e-02	-1.77	-5.133402	-0.50324528	TEX12	testis expressed 12
205541_s_at	1.67e-01	7.98e-02	-1.77	-5.133409	-0.15440165	GSPT2	G1 to S phase transition 2
206224_at	1.67e-01	7.98e-02	1.77	-5.13411	0.48528906	CST1	cystatin SN
1556581_at	1.68e-01	7.99e-02	-1.77	-5.134375	-0.18373494	ZNF778	zinc finger protein 778
202507_s_at	1.68e-01	7.99e-02	1.77	-5.134637	0.1856702	SNAP25	synaptosome associated protein 25
223866_at	1.68e-01	7.99e-02	-1.77	-5.134732	-0.46930262	ARMC2	armadillo repeat containing 2
219554_at	1.68e-01	8.00e-02	-1.77	-5.135982	-0.22217886	RHCG	Rh family C glycoprotein
1561225_at	1.68e-01	8.00e-02	-1.77	-5.136029	-0.32345926	ANKRD30BP3	ankyrin repeat domain 30B pseudogene 3
207468_s_at	1.68e-01	8.01e-02	1.77	-5.136659	0.54132192	SFRP5	secreted frizzled related protein 5
1556436_at	1.68e-01	8.01e-02	-1.77	-5.136845	-0.34352789	EXTL3-AS1	EXTL3 antisense RNA 1
203585_at	1.68e-01	8.01e-02	1.77	-5.137014	0.24564335	ZNF185	zinc finger protein 185 (LIM domain)
226416_at	1.68e-01	8.02e-02	-1.77	-5.137418	-0.10585057	ERI1	exoribonuclease 1
46256_at	1.68e-01	8.02e-02	-1.77	-5.138062	-0.09858092	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3
222781_s_at	1.68e-01	8.02e-02	1.77	-5.138111	0.17944363	C9orf40	chromosome 9 open reading frame 40
217732_s_at	1.68e-01	8.04e-02	1.77	-5.139838	0.13273979	ITM2B	integral membrane protein 2B
204725_s_at	1.69e-01	8.05e-02	-1.77	-5.14057	-0.14132652	NCK1	NCK adaptor protein 1
219671_at	1.69e-01	8.05e-02	-1.77	-5.140664	-0.22689135	HPCAL4	hippocalcin like 4
243623_at	1.69e-01	8.05e-02	-1.77	-5.140963	-0.45603702	SLC1A7	solute carrier family 1 member 7
206534_at	1.69e-01	8.06e-02	-1.77	-5.142092	-0.62751193	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A
241471_at	1.69e-01	8.06e-02	-1.77	-5.142169	-0.5156512		
222881_at	1.69e-01	8.07e-02	1.77	-5.142316	0.21565931	HPSE	heparanase
206849_at	1.69e-01	8.07e-02	-1.77	-5.142965	-0.36655643	GABRG2	gamma-aminobutyric acid type A receptor gamma2 subunit
244193_at	1.69e-01	8.07e-02	1.77	-5.143192	0.29444723	DNAJC22	DnaJ heat shock protein family (Hsp40) member C22
235703_at	1.69e-01	8.08e-02	1.77	-5.144031	0.22918776	PLB1	phospholipase B1
210788_s_at	1.69e-01	8.09e-02	1.77	-5.14526	0.11958267	DHRS7	dehydrogenase/reductase 7
215429_s_at	1.69e-01	8.10e-02	-1.77	-5.145411	-0.28760608	ZNF428	zinc finger protein 428
